Extinct,Ecozone,Replacement,Area
Antidorcas_australis,Afrotropic,Pelea_capreolus,1215550
Antidorcas_bondi,Afrotropic,Sylvicapra_grimmia,7312775
Bootherium_bombifrons,Neartic,Connochaetes_taurinus,2562575
Bubalus_palaeokerabau,Indomalaya,Bos_javanicus,149075
CapriniGen_spA,Afrotropic,Tragelaphus_scriptus,2300375
Damaliscus_hypsodon,Afrotropic,Tragelaphus_scriptus,6363150
Damaliscus_niro,Afrotropic,Alcelaphus_buselaphus,6277000
Euceratherium_collinum,Neartic,Bison_bison,2692450
Euceratherium_collinum,Neotropic,Bison_bison,1075
Gazella_atlantica,Paleartic,Ammotragus_lervia,1741725
Gazella_bilkis,Afrotropic,Capricornis_crispus,0
Gazella_bilkis,Afrotropic,Naemorhedus_caudatus,0
Gazella_bilkis,Afrotropic,Procapra_gutturosa,0
Gazella_bilkis,Afrotropic,Procapra_przewalskii,0
Gazella_bilkis,Paleartic,Eudorcas_albonotata,0
Gazella_saudiya,Afrotropic,Gazella_gazella,272850
Gazella_saudiya,Paleartic,Gazella_gazella,880575
Gazella_tingitana,Paleartic,Gazella_cuvieri,1618125
Hemitragus_cedrensis,Paleartic,Capra_pyrenaica,925525
Hippotragus_leucophaeus,Afrotropic,Alcelaphus_buselaphus,68550
Hippotragus_leucophaeus,Afrotropic,Damaliscus_pygargus,68550
Megalotragus_priscus,Afrotropic,Alcelaphus_buselaphus,1259525
Megalovis_guangxiensis,Indomalaya,Pseudois_nayaur,13000
Megalovis_guangxiensis,Paleartic,Pseudois_nayaur,406775
Oreamnos_harringtoni,Neartic,Ovis_canadensis,3737200
Oreamnos_harringtoni,Neotropic,Ovis_canadensis,25975
Pelorovis_antiquus,Paleartic,Bos_primigenius,645200
Rusingoryx_atopocranion,Afrotropic,Kobus_ellipsiprymnus,5992950
Sivacobus_sankaliai,Indomalaya,Capricornis_thar,1486675
Sivacobus_sankaliai,Paleartic,Capricornis_thar,61300
Soergelia_minor,Paleartic,Capra_sibirica,6566450
Spirocerus_kiakhtensis,Paleartic,Bos_primigenius,5654700
