Extinct,Ecozone,Replacement,Area
Camelops_hesternus,Neartic,Camelus_ferus,4591300
Camelops_hesternus,Neotropic,Camelus_dromedarius,5650
Hemiauchenia_macrocephala,Neartic,Lama_guanicoe,2081275
Hemiauchenia_macrocephala,Neotropic,Lama_guanicoe,75
Hemiauchenia_paradoxa,Neotropic,Camelus_dromedarius,301550
Palaeolama_major,Neotropic,Camelus_dromedarius,240950
Palaeolama_mirifica,Neartic,Lama_guanicoe,142200
Palaeolama_mirifica,Neotropic,Lama_guanicoe,0
Palaeolama_mirifica,Neotropic,Vicugna_vicugna,0
Palaeolama_weddeli,Neotropic,Camelus_dromedarius,193775
