Extinct,Ecozone,Replacement,Area
Agalmaceros_blicki,Neotropic,Odocoileus_virginianus,897475
Cervalces_scotti,Neartic,Alces_alces,1091850
Haploidoceros_mediterraneus,Paleartic,Cervus_elaphus,4037450
Megaceroides_algericus,All,No Replacement,0
Megaloceros_giganteus,Paleartic,Alces_alces,14631950
Morenelaphus_brachyceros,Neotropic,Ozotoceros_bezoarticus,5644600
Navahoceros_fricki,Neartic,Odocoileus_virginianus,10747400
Navahoceros_fricki,Neotropic,Odocoileus_virginianus,390100
Paraceros_fragilis,Neotropic,Ozotoceros_bezoarticus,5644600
Rucervus_schomburgki,Indomalaya,Rucervus_eldii,337675
Sangamona_fugitiva,Neartic,Cervus_canadensis,6929800
Sinomegaceros_ordosianus,Paleartic,Alces_alces,2034175
Sinomegaceros_yabei,Indomalaya,Alces_alces,0
Sinomegaceros_yabei,Paleartic,Alces_alces,67275
