Extinct,Ecozone,Replacement,Area
Dasypus_bellus,Neartic,Dasypus_kappleri,875
Dasypus_bellus,Neotropic,Dasypus_kappleri,2625
Doedicurus_clavicaudatus,All,No Replacement,0
Eutatus_seguini,All,No Replacement,0
Glyptodon_clavipes,All,No Replacement,0
Glyptodon_reticulatus,All,No Replacement,0
Glyptotherium_cylindricum,All,No Replacement,0
Glyptotherium_floridanum,All,No Replacement,0
Holmesina_occidentalis,All,No Replacement,0
Holmesina_paulacoutoi,All,No Replacement,0
Holmesina_septentrionalis,All,No Replacement,0
Hoplophorus_euphractus,All,No Replacement,0
Neosclerocalyptus_paskoenis,All,No Replacement,0
Neuryurus_trabeculatus,All,No Replacement,0
Pachyarmatherium_brasiliense,All,No Replacement,0
Pampatherium_humboldti,All,No Replacement,0
Pampatherium_typum,All,No Replacement,0
Panochthus_tuberculatus,All,No Replacement,0
Propraopus_punctatus,All,No Replacement,0
Propraopus_sulcatus,All,No Replacement,0
