Extinct,Ecozone,Replacement,Area
Elephas_iolensis,Afrotropic,Loxodonta_africana,2812575
Elephas_iolensis,Paleartic,Loxodonta_africana,5050600
Elephas_namadicus,Indomalaya,Elephas_maximus,76225
Elephas_namadicus,Paleartic,Elephas_maximus,222225
Elephas_naumanii,Indomalaya,Elephas_maximus,875
Elephas_naumanii,Paleartic,Elephas_maximus,226025
Mammuthus_columbi,Neartic,Elephas_maximus,2545850
Mammuthus_columbi,Neotropic,Elephas_maximus,851975
Mammuthus_primigenius,Indomalaya,Elephas_maximus,39950
Mammuthus_primigenius,Neartic,Elephas_maximus,44875
Mammuthus_primigenius,Paleartic,Elephas_maximus,345700
