Extinct,Ecozone,Replacement,Area
Homotherium_latidens,Paleartic,Panthera_tigris,2717225
Homotherium_serum,Neartic,Panthera_onca,2619225
Homotherium_serum,Neotropic,Panthera_onca,55775
Leopardus_amnicola,Neartic,Catopuma_badia,402575
Leopardus_amnicola,Neotropic,Leopardus_wiedii,21900
Miracinonyx_trumani,Neartic,Puma_concolor,3287675
Panthera_atrox,Neartic,Panthera_tigris,7317025
Panthera_atrox,Neotropic,Panthera_leo,168875
Panthera_spelaea,Neartic,Panthera_tigris,657500
Panthera_spelaea,Paleartic,Panthera_tigris,6710550
Smilodon_fatalis,Neartic,Panthera_tigris,7696600
Smilodon_fatalis,Neotropic,Panthera_leo,233625
Smilodon_populator,Neartic,Panthera_leo,70850
Smilodon_populator,Neotropic,Panthera_tigris,7917225
