Extinct,Ecozone,Replacement,Area
Lagorchestes_asomatus,Australasia,Lagorchestes_hirsutus,1540300
Macropus_ferragus,All,No Replacement,0
Macropus_greyi,Australasia,Thylogale_billardierii,90675
Macropus_pearsoni,All,No Replacement,0
Metasthenurus_newtonae,Australasia,Macropus_rufus,612825
Onychogalea_lunata,Australasia,Petrogale_lateralis,2947050
Procoptodon_browneorum,Australasia,Macropus_giganteus,1289925
Procoptodon_gilli,Australasia,Macropus_rufus,182050
Procoptodon_goliah,All,No Replacement,0
Procoptodon_oreas,All,No Replacement,0
Procoptodon_rapha,All,No Replacement,0
Protemnodon_anak,All,No Replacement,0
Protemnodon_brehus,All,No Replacement,0
Protemnodon_hopei,Australasia,Macropus_antilopinus,0
Protemnodon_hopei,Australasia,Macropus_giganteus,0
Protemnodon_hopei,Australasia,Macropus_rufus,0
Protemnodon_nombe,Australasia,Macropus_giganteus,625
Protemnodon_roechus,All,No Replacement,0
Protemnodon_tumbuna,Australasia,Macropus_giganteus,625
Simosthenurus_maddocki,Australasia,Macropus_giganteus,1262000
Simosthenurus_occidentalis,All,No Replacement,0
Simosthenurus_pales,All,No Replacement,0
Sthenurus_andersoni,Australasia,Macropus_rufus,1050400
Sthenurus_atlas,All,No Replacement,0
Sthenurus_stirlingi,All,No Replacement,0
Sthenurus_tindalei,All,No Replacement,0
Thylogale_christenseni,Australasia,Dorcopsulus_vanheurni,487675
Troposodon_minor,Australasia,Macropus_giganteus,1361675
Wallabia_kitcheneri,Australasia,Macropus_fuliginosus,388650
