Extinct,Ecozone,Replacement,Area
Conilurus_albipes,Australasia,Conilurus_penicillatus,0
Conilurus_capricornensis,Australasia,Conilurus_penicillatus,0
Leporillus_apicalis,All,No Replacement,0
Notomys_amplus,Australasia,Notomys_mitchellii,8225
Notomys_longicaudatus,Australasia,Notomys_mitchellii,250200
Notomys_macrotis,Australasia,Notomys_mitchellii,159575
Notomys_mordax,Australasia,Notomys_alexis,0
Notomys_mordax,Australasia,Notomys_aquilo,0
Notomys_mordax,Australasia,Notomys_fuscus,0
Notomys_robustus,Australasia,Notomys_fuscus,695775
Pseudomys_glaucus,Australasia,Pseudomys_novaehollandiae,221825
Pseudomys_gouldii,Australasia,Pseudomys_desertor,1076250
