Predator,Prey,Pred Mass,Prey Mass,Scenario
Acinonyx_jubatus,Eudorcas_albonotata,4.669317,4.39794,CU
Acinonyx_jubatus,Madoqua_guentheri,4.669317,3.875061,CU
Acinonyx_jubatus,Ourebia_ourebi,4.669317,4.236789,CU
Acinonyx_jubatus,Redunca_redunca,4.669317,4.64395,CU
Acinonyx_jubatus,Sylvicapra_grimmia,4.669317,4.29003,CU
Acinonyx_jubatus,Tragelaphus_scriptus,4.669317,4.63599,CU
Acinonyx_jubatus,Procavia_capensis,4.669317,3.481443,CU
Acinonyx_jubatus,Acomys_percivali,4.669317,1.342423,CU
Acinonyx_jubatus,Aethomys_hindei,4.669317,2.01494,CU
Acinonyx_jubatus,Arvicanthis_niloticus,4.669317,2.028978,CU
Acinonyx_jubatus,Colomys_goslingi,4.669317,1.79588,CU
Acinonyx_jubatus,Dasymys_incomtus,4.669317,1.955207,CU
Acinonyx_jubatus,Gerbilliscus_kempi,4.669317,2.004321,CU
Acinonyx_jubatus,Gerbilliscus_robustus,4.669317,1.982271,CU
Acinonyx_jubatus,Gerbilliscus_validus,4.669317,2.032216,CU
Acinonyx_jubatus,Grammomys_ibeanus,4.669317,1.614897,CU
Acinonyx_jubatus,Grammomys_macmillani,4.669317,1.556303,CU
Acinonyx_jubatus,Lemniscomys_macculus,4.669317,1.481443,CU
Acinonyx_jubatus,Lemniscomys_zebra,4.669317,1.557507,CU
Acinonyx_jubatus,Mastomys_erythroleucus,4.669317,1.667453,CU
Acinonyx_jubatus,Mastomys_natalensis,4.669317,1.561101,CU
Acinonyx_jubatus,Mylomys_dybowskii,4.669317,2.058426,CU
Acinonyx_jubatus,Myomyscus_brockmani,4.669317,1.469822,CU
Acinonyx_jubatus,Oenomys_hypoxanthus,4.669317,1.954243,CU
Acinonyx_jubatus,Taterillus_emini,4.669317,1.716003,CU
Acinonyx_jubatus,Uranomys_ruddi,4.669317,1.606381,CU
Acinonyx_jubatus,Lepus_capensis,4.669317,3.513444,CU
Acinonyx_jubatus,Lepus_victoriae,4.669317,3.243038,CU
Acinonyx_jubatus,Poelagus_marjorita,4.669317,3.39794,CU
Acinonyx_jubatus,Hyaena_hyaena,4.669317,4.620189,CU
Acinonyx_jubatus,Proteles_cristata,4.669317,4,CU
Acinonyx_jubatus,Caracal_caracal,4.669317,4.1383,CU
Acinonyx_jubatus,Felis_silvestris,4.669317,3.740363,CU
Acinonyx_jubatus,Leptailurus_serval,4.669317,4.079181,CU
Acinonyx_jubatus,Panthera_pardus,4.669317,4.74036,CU
Acinonyx_jubatus,Canis_adustus,4.669317,4.01072,CU
Acinonyx_jubatus,Canis_aureus,4.669317,4.014739,CU
Acinonyx_jubatus,Canis_mesomelas,4.669317,3.929419,CU
Acinonyx_jubatus,Lycaon_pictus,4.669317,4.343411,CU
Acinonyx_jubatus,Chlorocebus_aethiops,4.669317,3.599337,CU
Acinonyx_jubatus,Chlorocebus_pygerythrus,4.669317,3.599337,CU
Acinonyx_jubatus,Chlorocebus_tantalus,4.669317,3.667453,CU
Acinonyx_jubatus,Colobus_guereza,4.669317,4.217431,CU
Acinonyx_jubatus,Erythrocebus_patas,4.669317,3.907949,CU
Acinonyx_jubatus,Papio_anubis,4.669317,4.452234,CU
Acinonyx_jubatus,Cricetomys_gambianus,4.669317,3.104146,CU
Acinonyx_jubatus,Thryonomys_gregorianus,4.669317,3.4325040000000002,CU
Acinonyx_jubatus,Orycteropus_afer,4.669317,4.71892,CU
Acinonyx_jubatus,Smutsia_temminckii,4.669317,3.856118,CU
Acinonyx_jubatus,Galago_senegalensis,4.669317,2.357363,CU
Acinonyx_jubatus,Heliosciurus_gambianus,4.669317,2.469822,CU
Acinonyx_jubatus,Xerus_erythropus,4.669317,2.70105,CU
Acinonyx_jubatus,Crocidura_olivieri,4.669317,1.763428,CU
Acinonyx_jubatus,Aonyx_capensis,4.669317,4.278749,CU
Acinonyx_jubatus,Hydrictis_maculicollis,4.669317,3.60206,CU
Acinonyx_jubatus,Ictonyx_striatus,4.669317,3.113943,CU
Acinonyx_jubatus,Mellivora_capensis,4.669317,3.929419,CU
Acomys_cineraceus,Acomys_percivali,1.307496,1.342423,CU
Acomys_cineraceus,Acomys_wilsoni,1.307496,1.267172,CU
Acomys_cineraceus,Grammomys_ibeanus,1.307496,1.614897,CU
