Level1,Level2,Size,Difference,SE,CI_low,CI_high,z,df,p,Std_Difference,Area
CU,RW,Megacarnivore,-0.4910301084341977,0.11778862830209645,-0.7730137052377473,-0.20904651163064808,-4.168739508323641,Inf,9.188663894331641e-5,-0.4910301084341977,Protected areas
CU,RW,Megaherbivore,-0.39841416043827776,0.10055162084952302,-0.6391327095910455,-0.15769561128551005,-3.962284815224515,Inf,2.22707718485902e-4,-0.39841416043827776,Protected areas
CU,RW,Mesocarnivore,-0.35359480806599786,0.16133391272183834,-0.7398249361477611,0.03263532001576547,-2.1916954848522363,Inf,0.08520450595922861,-0.35359480806599786,Protected areas
CU,RW,Mesoherbivore,-1.521608462665033,0.318721241189882,-2.2846206758466936,-0.7585962494833726,-4.774104345805169,Inf,5.41526335097362e-6,-1.521608462665033,Protected areas
CU,RW,Microcarnivore,-0.7767642811719071,0.4389440607706983,-1.8275874959072669,0.2740589335634527,-1.769620210393242,Inf,0.23037128930074133,-0.7767642811719071,Protected areas
CU,RW,Microherbivore,-0.28357735080523483,0.47981050951016224,-1.4322340183131899,0.8650793167027202,-0.5910194653608952,Inf,1,-0.28357735080523483,Protected areas
PN,CU,Megacarnivore,1.468669481884156,0.26480241992712034,0.8347378376355716,2.10260112613274,5.546284215561048,Inf,8.754130710642202e-8,1.468669481884156,Protected areas
PN,CU,Megaherbivore,2.347212374410587,0.40469605939221176,1.3783781831594801,3.3160465656616935,5.799938793413807,Inf,1.9901738658115454e-8,2.347212374410587,Protected areas
PN,CU,Mesocarnivore,1.0772492970931609,0.23895071275577728,0.5052061176035951,1.6492924765827266,4.50824893832469,Inf,1.9609456884701812e-5,1.0772492970931609,Protected areas
PN,CU,Mesoherbivore,4.983586257952523,0.8527184477615917,2.942195519078678,7.024976996826368,5.84435140465715,Inf,1.5256372592305977e-8,4.983586257952523,Protected areas
PN,CU,Microcarnivore,1.2535271913626111,0.46999549846150795,0.12836746204013005,2.3786869206850922,2.667104675397808,Inf,0.022952351642126667,1.2535271913626111,Protected areas
PN,CU,Microherbivore,0.7192448074928812,0.49382306620316335,-0.4629576376819302,1.9014472526676927,1.4564828107826322,Inf,0.4357775940596985,0.7192448074928812,Protected areas
PN,RW,Megacarnivore,0.9776393734499582,0.1991069961249719,0.5009812467242334,1.454297500175683,4.910120651091191,Inf,2.730611219307427e-6,0.9776393734499582,Protected areas
PN,RW,Megaherbivore,1.9487982139723092,0.3450196045791468,1.122828250068462,2.7747681778761564,5.648369507435508,Inf,4.8593019803736415e-8,1.9487982139723092,Protected areas
PN,RW,Mesocarnivore,0.723654489027163,0.2031417829102655,0.2373371642408706,1.2099718138134554,3.562312384285932,Inf,0.0011028078081686352,0.723654489027163,Protected areas
PN,RW,Mesoherbivore,3.46197779528749,0.6201979385351507,1.9772364585452582,4.946719132029722,5.58205305142477,Inf,7.130875321614662e-8,3.46197779528749,Protected areas
PN,RW,Microcarnivore,0.47676291019070405,0.433135600273955,-0.5601549674474084,1.5136807878288165,1.100724368740771,Inf,0.8130499110384346,0.47676291019070405,Protected areas
PN,RW,Microherbivore,0.4356674566876464,0.48593838804573314,-0.7276592282502068,1.5989941416254996,0.8965487547500454,Inf,1,0.4356674566876464,Protected areas
CU,RW,Megacarnivore,-0.7533081924755949,0.11091221056426971,-1.0188297841196736,-0.48778660083151615,-6.791932003186244,Inf,3.319250962297107e-11,-0.7533081924755949,Random areas
CU,RW,Megaherbivore,-0.7066357804644279,0.10367476894306758,-0.954831083064983,-0.45844047786387276,-6.815889610060023,Inf,2.8104664107985026e-11,-0.7066357804644279,Random areas
CU,RW,Mesocarnivore,-1.1196510146760879,0.1829123621604586,-1.5575395148253133,-0.6817625145268624,-6.1212429900931555,Inf,2.78544556278838e-9,-1.1196510146760879,Random areas
CU,RW,Mesoherbivore,-2.378664174332014,0.30771896869047943,-3.115337169398006,-1.6419911792660218,-7.729988776624961,Inf,3.2266819745089894e-14,-2.378664174332014,Random areas
CU,RW,Microcarnivore,-1.2703660565938364,0.42492375075448763,-2.2876249323631948,-0.25310718082447803,-2.9896329737704597,Inf,0.008379385282465575,-1.2703660565938364,Random areas
CU,RW,Microherbivore,-0.5942751273880056,0.45903616944195685,-1.6931984444181167,0.5046481896421056,-1.2946150367855689,Inf,0.5863591876386604,-0.5942751273880056,Random areas
PN,CU,Megacarnivore,1.7838577142606609,0.21020396226625734,1.2806336747534286,2.287081753767893,8.486318216975931,Inf,6.398606615053489e-17,1.7838577142606609,Random areas
PN,CU,Megaherbivore,2.9080937031460214,0.32135138912460526,2.138784968938099,3.677402437353944,9.049575640758773,Inf,4.3057506222316624e-19,2.9080937031460214,Random areas
PN,CU,Mesocarnivore,1.7656090366111943,0.23570809138978077,1.201328627170284,2.3298894460521042,7.490659426245488,Inf,2.0558528603900993e-13,1.7656090366111943,Random areas
PN,CU,Mesoherbivore,5.839337339125613,0.636237260865776,4.316198188721087,7.36247648953014,9.177924177498795,Inf,1.3184439061744071e-19,5.839337339125613,Random areas
PN,CU,Microcarnivore,1.692396065573785,0.44197137973192874,0.634325510397632,2.750466620749938,3.829198321846729,Inf,3.8568412210068673e-4,1.692396065573785,Random areas
PN,CU,Microherbivore,1.0679666130440388,0.47001502763780506,-0.05723986873200482,2.1931730948200823,2.272196738924307,Inf,0.06922389047775344,1.0679666130440388,Random areas
PN,RW,Megacarnivore,1.030549521785066,0.160181179587205,0.6470790135421962,1.4140200300279357,6.433649224215006,Inf,3.7372851519205626e-10,1.030549521785066,Random areas
PN,RW,Megaherbivore,2.201457922681594,0.2626699694465978,1.5726313218074937,2.8302845235556937,8.381079600837893,Inf,1.5733324771367056e-16,2.201457922681594,Random areas
PN,RW,Mesocarnivore,0.6459580219351064,0.17991158613127792,0.2152533189835193,1.0766627248866936,3.59041924884017,Inf,9.904395072897322e-4,0.6459580219351064,Random areas
PN,RW,Mesoherbivore,3.460673164793599,0.43097482504593515,2.428928139403314,4.4924181901838836,8.029873124085022,Inf,2.9272055838492634e-15,3.460673164793599,Random areas
PN,RW,Microcarnivore,0.4220300089799487,0.41586218631634214,-0.5735356645697356,1.417595682529633,1.0148314101799936,Inf,0.9305585947799686,0.4220300089799487,Random areas
PN,RW,Microherbivore,0.47369148565603325,0.4625649310417793,-0.633679615362428,1.5810625866744945,1.0240540384010413,Inf,0.9174292551202002,0.47369148565603325,Random areas
