Scenario,Edge,Mean,SE,CI_low,CI_high,Estimate,From,To,Area
PN,Large carnivores → Megacarnivores,0.8463722422749358,0.5493650266123349,0.7942449021873732,6.8421903624524525,2.331174556993413,Mesocarnivore,Megacarnivore,Protected area
CU,Large carnivores → Megacarnivores,-0.4497290365955793,0.5517722027715833,0.21627972592369496,1.880851516312796,0.6378009489263069,Mesocarnivore,Megacarnivore,Protected area
RW,Large carnivores → Megacarnivores,0.2847084375114031,0.5500798747654445,0.45229154064398736,3.907294460584277,1.3293743759104808,Mesocarnivore,Megacarnivore,Protected area
PN,Large herbivores → Megacarnivores,1.6349235711900485,0.5486568901112658,1.74993006923916,15.033353746168785,5.129065973637883,Mesoherbivore,Megacarnivore,Protected area
CU,Large herbivores → Megacarnivores,-0.2891631883388651,0.5513022619738349,0.25418427918813485,2.2064158015617767,0.7488899853177975,Mesoherbivore,Megacarnivore,Protected area
RW,Large herbivores → Megacarnivores,0.4462322689794455,0.549749921640611,0.5319223398936034,4.589276176560681,1.5624143247724422,Mesoherbivore,Megacarnivore,Protected area
PN,Large herbivores → Large carnivores,0.798728021751429,0.5497253925511643,0.7567563431386181,6.528452894906953,2.2227118884602453,Mesoherbivore,Mesocarnivore,Protected area
CU,Large herbivores → Large carnivores,-0.13133876602940442,0.5514247555119117,0.29756832187049154,2.584246290289278,0.8769206531388251,Mesoherbivore,Mesocarnivore,Protected area
RW,Large herbivores → Large carnivores,0.06251467923234147,0.5509664780513885,0.3615482500747275,3.1342475612032357,1.0645100849940372,Mesoherbivore,Mesocarnivore,Protected area
PN,Small carnivores → Megacarnivores,2.40822233763403,0.548296003003194,3.794611062916702,32.552779489373854,11.114186303057277,Microcarnivore,Megacarnivore,Protected area
CU,Small carnivores → Megacarnivores,0.954880885011719,0.5489930843038776,0.8859225141754589,7.62084730202885,2.5983610607382226,Microcarnivore,Megacarnivore,Protected area
RW,Small carnivores → Megacarnivores,1.7909875169019474,0.5484418405032032,2.046357251269954,17.56509636510906,5.99537007331461,Microcarnivore,Megacarnivore,Protected area
PN,Small carnivores → Large carnivores,2.5135345543266308,0.5480120293724983,4.218378083054767,36.14788334884714,12.348499458136487,Microcarnivore,Mesocarnivore,Protected area
CU,Small carnivores → Large carnivores,2.1048659769059332,0.5481340288881014,2.802587286960017,24.02725791243518,8.206003141962617,Microcarnivore,Mesocarnivore,Protected area
RW,Small carnivores → Large carnivores,2.377400821484507,0.5480565038897851,3.6811669664767783,31.54994452297676,10.776855458442274,Microcarnivore,Mesocarnivore,Protected area
PN,Small herbivores → Megacarnivores,2.8720833654432405,0.5480548266421488,6.037050975779907,51.74103017731692,17.67380085663038,Microherbivore,Megacarnivore,Protected area
CU,Small herbivores → Megacarnivores,1.5627088922730512,0.5484490468670138,1.6286777886916948,13.980301058096698,4.771729855361166,Microherbivore,Megacarnivore,Protected area
RW,Small herbivores → Megacarnivores,2.3068724168992127,0.5481513089345661,3.4298467926315115,29.406897053533562,10.042965276267122,Microherbivore,Megacarnivore,Protected area
PN,Small herbivores → Large carnivores,3.410809400866814,0.5478217933615678,10.351158190680781,88.63443028582195,30.289750890844424,Microherbivore,Mesocarnivore,Protected area
CU,Small herbivores → Large carnivores,3.1500174012328612,0.5478733806761807,7.974151970420011,68.29451770183402,23.336470660769685,Microherbivore,Mesocarnivore,Protected area
RW,Small herbivores → Large carnivores,3.289694947284654,0.5478476608890186,9.169963106039923,78.5281085692125,26.834676416286,Microherbivore,Mesocarnivore,Protected area
PN,Small herbivores → Small carnivores,4.7992414049975185,0.5475242188680159,41.51744313160983,355.08924585040717,121.41827527699651,Microherbivore,Microcarnivore,Protected area
CU,Small herbivores → Small carnivores,4.717967340237905,0.5475422950698277,38.275276359698466,327.3829277301866,111.94048434020681,Microherbivore,Microcarnivore,Protected area
RW,Small herbivores → Small carnivores,4.782310347672322,0.5475313302801322,40.81985723369812,349.1326847319773,119.37984061966684,Microherbivore,Microcarnivore,Protected area
PN,Large carnivores → Megacarnivores,0.9655417899826478,0.4620449550878255,1.061783794512284,6.495653501778074,2.626210125438353,Mesocarnivore,Megacarnivore,Random area
