Scenario,Size,Mean,SE,CI_low,CI_high,N,CI_med_low,CI_med_high,Area
PN,Megacarnivore,0.7268025151901928,0.17095974660156635,1.4795345854727577,2.8917951294132256,2.0684561653727487,1.699168606809371,2.5180025636788033,Protected area
CU,Megacarnivore,-0.5113417273139487,0.1853717412671997,0.4170022489847253,0.8624140470137904,0.5996904177663416,0.4845260923024875,0.7422275144188824,Protected area
RW,Megacarnivore,0.0868637070079938,0.1763735493234333,0.7719603445102263,1.541181779636825,1.0907480082774972,0.8904507389751336,1.3360999833979037,Protected area
PN,Megaherbivore,1.0365160891891279,0.1693140142722217,2.0231722879420246,3.9289234585774455,2.819377424687802,2.320414463498153,3.425633302964261,Protected area
CU,Megaherbivore,-0.7506456294361581,0.19049347371237457,0.32497533975689774,0.6857204225221977,0.47206167741874006,0.37916656730161075,0.5877159182922718,Protected area
RW,Megaherbivore,-0.13869165793387883,0.17916209054289717,0.6127226436400242,1.236716133053648,0.870496397739186,0.7083686294107974,1.0697311357607515,Protected area
PN,Mesocarnivore,1.2973270205739968,0.16807239532312268,2.632440016325969,5.087277739275545,3.6595018096775487,3.016161645675455,4.440064913044204,Protected area
CU,Mesocarnivore,0.9486430981179957,0.16945788184831856,1.8524549377644814,3.599426198444066,2.582203484318489,2.1248629979263987,3.1379787030662514,Protected area
RW,Mesocarnivore,1.076986953255452,0.16889212189889855,2.108474029463051,4.087810225335047,2.9358204470799043,2.4174227793532106,3.5653844958797407,Protected area
PN,Mesoherbivore,2.186748770790267,0.1661143795528687,6.431260604832611,12.333596628784974,8.906209862483653,7.3570511773088985,10.78157161108881,Protected area
CU,Mesoherbivore,1.3666999321015914,0.16788098878535318,2.8226022422617896,5.450681375074345,3.9223851762848865,3.2335420317990096,4.757972934893251,Protected area
RW,Mesoherbivore,1.694526343274977,0.16700082837864227,3.924389250915883,7.552222964327349,5.444066735605501,4.4925346110350555,6.597136179858598,Protected area
PN,Microcarnivore,3.1074102654182685,0.16525866831075306,16.17568562440413,30.917157955601454,22.36305496773315,18.49138704842427,27.045360425380874,Protected area
CU,Microcarnivore,3.0497214456545714,0.1652915525979096,15.267951458997727,29.18593559969189,21.10946347071686,17.45416689247357,25.5302616714225,Protected area
RW,Microcarnivore,3.085859313451789,0.16527065548515973,15.830441775662239,30.25870300987226,21.88626592648546,18.096893927315772,26.469107799864727,Protected area
PN,Microherbivore,3.34583777219644,0.16514090520160568,20.535755665318902,39.23259862416311,28.384345323810802,23.473403968554944,34.322719471816704,Protected area
CU,Microherbivore,3.3201706864561107,0.1651521884595523,20.014926998680668,38.23927113807636,27.665072208677767,22.878279540907727,33.45339927955913,Protected area
RW,Microherbivore,3.3303692913444585,0.16514768866941099,20.220274100741523,38.63091309219901,27.948660996301562,23.112919571950584,33.79614803982403,Protected area
PN,Megacarnivore,0.7431977383504795,0.11211719274116627,1.6878441750102309,2.6193950604913696,2.1026484953270077,1.8482214441964322,2.392100096437926,Random area
CU,Megacarnivore,-1.1429861333327271,0.15759988643648554,0.23413059179169135,0.4342668674275657,0.3188654240684304,0.26599412283700113,0.38224588416431143,Random area
RW,Megacarnivore,0.06965677859583337,0.12115178490214801,0.845526003049216,1.3594903864336048,1.0721401366542713,0.9326641581017079,1.2324741576481675,Random area
PN,Megaherbivore,1.1539669693197343,0.10863472451157448,2.562662665851852,3.923119455620802,3.170746246957721,2.7982635981381114,3.5928108307186943,Random area
CU,Megaherbivore,-1.3366672204249337,0.16606018353222668,0.1897326696511533,0.36378391001386284,0.26271979830813114,0.2170354771451627,0.31802032244203293,Random area
RW,Megaherbivore,-0.031137119609761996,0.12262937709926909,0.7622457397531024,1.2327063575138504,0.9693426480772922,0.8418076394318436,1.1161993849517369,Random area
PN,Mesocarnivore,1.2773482196119876,0.10755105811228016,2.905344637421843,4.428869767480531,3.5871148613878097,3.1696682409281096,4.059539374701747,Random area
CU,Mesocarnivore,0.5996862200803601,0.11281780235436199,1.4601912067181448,2.27232843827207,1.8215471457913055,1.599844330454748,2.0739730367374656,Random area
RW,Mesocarnivore,1.0788073326312584,0.10876703572676864,2.3764977252858315,3.6400113703303743,2.941169621358941,2.5952613915801,3.333182071628605,Random area
PN,Mesoherbivore,2.1713111472589377,0.10426281751578197,7.14890915978275,10.758138248347649,8.769774972359418,7.778569712694563,9.887287240005941,Random area
CU,Mesoherbivore,1.0751922668507445,0.10891941426398107,2.3672149502699122,3.6279595979914316,2.9305562952007147,2.585443050561048,3.321736364479923,Random area
RW,Mesoherbivore,1.6694349645307773,0.10580878178204581,4.3148111730629575,6.532674078151889,5.309167081792446,4.700730386236821,5.996356477903401,Random area
PN,Microcarnivore,3.0020840025367397,0.10287511688135055,16.45208930459009,24.623851011289222,20.127438879814072,17.881053267276204,22.65603652118428,Random area
CU,Microcarnivore,2.914255159824637,0.10297023982297958,15.065949512240875,22.557624438129018,18.435076102390862,16.37577990620682,20.753334060879173,Random area
RW,Microcarnivore,2.9808937140382894,0.10289728419368112,16.106432766598576,24.108601491112335,19.705419787797442,17.505688529252282,22.181565058949705,Random area
PN,Microherbivore,3.213780041970331,0.10267705677271283,20.338928477094246,30.41766044068895,24.872929464454153,22.101943665751968,27.991321917192256,Random area
CU,Microherbivore,3.1698946121178455,0.10271472105362953,19.464211237893355,29.113784787853085,23.804975468278446,21.152049341942043,26.790636116836424,Random area
RW,Microherbivore,3.1945519353835605,0.10269337147760446,19.95094729837665,29.839327700291346,24.399238807132964,21.68061794439679,27.45875859693198,Random area
