Size,Web,Ecozone,Scenario,Proportion,Area
Megacarnivore,10,AT,PN,3,Protected
Megaherbivore,10,AT,PN,3,Protected
Mesocarnivore,10,AT,PN,5,Protected
Mesoherbivore,10,AT,PN,15,Protected
Microcarnivore,10,AT,PN,30,Protected
Microherbivore,10,AT,PN,20,Protected
Megacarnivore,100,"NA",PN,5,Protected
Megaherbivore,100,"NA",PN,5,Protected
Mesocarnivore,100,"NA",PN,5,Protected
Mesoherbivore,100,"NA",PN,22,Protected
Microcarnivore,100,"NA",PN,46,Protected
Microherbivore,100,"NA",PN,93,Protected
Megacarnivore,101,"NA",PN,4,Protected
Megaherbivore,101,"NA",PN,4,Protected
Mesocarnivore,101,"NA",PN,4,Protected
Mesoherbivore,101,"NA",PN,12,Protected
Microcarnivore,101,"NA",PN,28,Protected
Microherbivore,101,"NA",PN,16,Protected
Megacarnivore,102,"NA",PN,5,Protected
Megaherbivore,102,"NA",PN,5,Protected
Mesocarnivore,102,"NA",PN,5,Protected
Mesoherbivore,102,"NA",PN,21,Protected
Microcarnivore,102,"NA",PN,24,Protected
Microherbivore,102,"NA",PN,32,Protected
Megacarnivore,103,"NA",PN,3,Protected
Megaherbivore,103,"NA",PN,2,Protected
Mesocarnivore,103,"NA",PN,3,Protected
Mesoherbivore,103,"NA",PN,7,Protected
Microcarnivore,103,"NA",PN,17,Protected
Microherbivore,103,"NA",PN,17,Protected
Megacarnivore,104,"NA",PN,4,Protected
Megaherbivore,104,"NA",PN,2,Protected
Mesocarnivore,104,"NA",PN,2,Protected
Mesoherbivore,104,"NA",PN,7,Protected
Microcarnivore,104,"NA",PN,16,Protected
Microherbivore,104,"NA",PN,19,Protected
Megacarnivore,105,"NA",PN,4,Protected
Megaherbivore,105,"NA",PN,2,Protected
Mesocarnivore,105,"NA",PN,4,Protected
Mesoherbivore,105,"NA",PN,9,Protected
Microcarnivore,105,"NA",PN,19,Protected
Microherbivore,105,"NA",PN,23,Protected
Megacarnivore,106,"NA",PN,5,Protected
Megaherbivore,106,"NA",PN,5,Protected
Mesocarnivore,106,"NA",PN,5,Protected
Mesoherbivore,106,"NA",PN,20,Protected
Microcarnivore,106,"NA",PN,23,Protected
Microherbivore,106,"NA",PN,27,Protected
Megacarnivore,107,"NA",PN,4,Protected
Megaherbivore,107,"NA",PN,2,Protected
Mesocarnivore,107,"NA",PN,2,Protected
Mesoherbivore,107,"NA",PN,6,Protected
Microcarnivore,107,"NA",PN,16,Protected
Microherbivore,107,"NA",PN,14,Protected
